,mean,mean_se,mean_ci_lower,mean_ci_upper
2025-06-03,169.10856558905198,2.476079615580197,164.25553871966102,173.96159245844294
2025-06-04,169.06230110236274,3.4435452647064606,162.31307640440463,175.81152580032085
2025-06-05,169.0895441931194,4.2215200769400125,160.81551688230422,177.36357150393457
2025-06-06,169.07350195322684,4.862591661309665,159.5429974255351,178.60400648091857
2025-06-09,169.08294851210186,5.436028318124381,158.42852878963822,179.7373682345655
2025-06-10,169.0773858553172,5.950431139644004,157.41475512912933,180.74001658150507
2025-06-11,169.08066145555568,6.425988014730767,156.48595638159733,181.67536652951404
2025-06-12,169.07873260081277,6.867477225934734,155.61872457333166,182.53874062829388
2025-06-13,169.07986841725813,7.282927775549776,154.80559227517415,183.3541445593421
2025-06-16,169.0791995856614,7.675546645299435,154.0354045992173,184.1229945721055
2025-06-17,169.07959343072906,8.049249592837443,153.303354126194,184.85583273526413
2025-06-18,169.07936151295172,8.40623612046826,152.60344147129422,185.55528155460922
2025-06-19,169.07949807897694,8.748735880565619,151.932290842815,186.22670531513887
2025-06-20,169.0794176613416,9.078284764434567,151.28630648165117,186.87252884103205
2025-06-23,169.07946501569685,9.396304627245781,150.66304635852808,187.49588367286563
2025-06-24,169.07943713083117,9.703895333369646,150.06015176768037,188.09872249398197
2025-06-25,169.07945355098366,10.002038360580638,149.47581859225755,188.68308850970976
2025-06-26,169.07944388188892,10.29154381242334,148.90838866422314,189.2504990995547
2025-06-27,169.07944957558715,10.573127551116599,148.35650037145044,189.80239877972386
2025-06-30,169.07944622282247,10.847402879827772,147.81892725256398,190.33996519308096
2025-07-01,169.0794481971159,11.114912929214704,147.29461916455648,190.86427722967534
2025-07-02,169.07944703454265,11.376133767895029,146.78263456615846,191.37625950292684
2025-07-03,169.07944771913014,11.631489824474759,146.2821465766155,191.87674886164478
2025-07-04,169.07944731600713,11.881358847561032,145.79241188739118,192.36648274462308
2025-07-07,169.0794475533883,12.126080267572776,145.31276695530383,192.84612815147275
2025-07-08,169.07944741360512,12.365959567767021,144.84261202650328,193.31628280070697
2025-07-09,169.07944749591718,12.601273353244114,144.38140556421445,193.7774894276199
2025-07-10,169.07944744744728,12.832272744661614,143.92865502811557,194.230239866779
2025-07-11,169.07944747598904,13.059186717085053,143.48391184311848,194.6749831088596
2025-07-14,169.07944745918206,13.282224643631835,143.0467655230933,195.1121293952708
